"filename", "language", "C++", "comment", "blank", "total"
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Matrix_Index.cpp", "C++", 20, 26, 24, 70
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Memory.cpp", "C++", 23, 6, 19, 48
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Mesher.cpp", "C++", 479, 50, 152, 681
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Mesher_Memory.cpp", "C++", 66, 20, 24, 110
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Mesher_NodalCoordinates.cpp", "C++", 466, 121, 86, 673
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Mesher_Paraview.cpp", "C++", 37, 4, 10, 51
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Parallel.cpp", "C++", 100, 16, 32, 148
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Parallel_Communication.cpp", "C++", 144, 11, 57, 212
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/PostProcessing.cpp", "C++", 163, 26, 55, 244
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/ReadData.cpp", "C++", 64, 8, 23, 95
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver.cpp", "C++", 83, 13, 29, 125
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_CFD_BoundaryConditions_NonPremixed.cpp", "C++", 268, 32, 52, 352
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_CFD_BoundaryConditions_NonPremixed_T.cpp", "C++", 135, 23, 25, 183
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_CFD_BoundaryConditions_Premixed.cpp", "C++", 277, 32, 56, 365
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_CFD_BoundaryConditions_Premixed_T.cpp", "C++", 135, 23, 25, 183
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_CFD_Energy.cpp", "C++", 899, 100, 258, 1257
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_CFD_Memory.cpp", "C++", 144, 22, 72, 238
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_CFD_MomentumConvection.cpp", "C++", 672, 49, 269, 990
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_CFD_MomentumDiffusion.cpp", "C++", 776, 81, 115, 972
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_CFD_PoissonCoeffs.cpp", "C++", 225, 40, 65, 330
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_CFD_RK3_Integration.cpp", "C++", 144, 47, 54, 245
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_CFD_RK4_Integration.cpp", "C++", 187, 60, 69, 316
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_CFD_Utilities.cpp", "C++", 407, 75, 117, 599
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_RunSolver.cpp", "C++", 173, 40, 86, 299
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_Species_BoundaryConditions_NonPremixed.cpp", "C++", 101, 23, 24, 148
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_Species_BoundaryConditions_Premixed.cpp", "C++", 101, 23, 24, 148
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_Species_Chemistry.cpp", "C++", 27, 15, 19, 61
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_Species_Convection.cpp", "C++", 423, 43, 164, 630
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_Species_Diffusion.cpp", "C++", 437, 50, 80, 567
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_Species_JANAF.cpp", "C++", 102, 10, 28, 140
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_Species_Memory.cpp", "C++", 75, 19, 38, 132
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_Species_Read.cpp", "C++", 80, 6, 19, 105
"/home/sergiogus/Documents/Github/TFM/Combustion3D/CG_RK/Codes/CppCodes/Solver_Species_Utilities.cpp", "C++", 64, 9, 26, 99
"Total", "-", 7497, 1123, 2196, 10816
