Coordinate 	 U Velocity 
0.001997 	 -0.000129 
0.006212 	 -0.000368 
0.010893 	 -0.000593 
0.016084 	 -0.000798 
0.021837 	 -0.000979 
0.028203 	 -0.001130 
0.035238 	 -0.001247 
0.043001 	 -0.001330 
0.051553 	 -0.001379 
0.060958 	 -0.001397 
0.071279 	 -0.001390 
0.082582 	 -0.001362 
0.094929 	 -0.001321 
0.108383 	 -0.001270 
0.123000 	 -0.001212 
0.138831 	 -0.001150 
0.155921 	 -0.001083 
0.174301 	 -0.001013 
0.193994 	 -0.000940 
0.215004 	 -0.000864 
0.237320 	 -0.000786 
0.260912 	 -0.000705 
0.285728 	 -0.000624 
0.311695 	 -0.000541 
0.338716 	 -0.000458 
0.366676 	 -0.000374 
0.395435 	 -0.000291 
0.424837 	 -0.000208 
0.454711 	 -0.000125 
0.484871 	 -0.000042 
0.515129 	 0.000041 
0.545289 	 0.000124 
0.575163 	 0.000208 
0.604565 	 0.000291 
0.633324 	 0.000374 
0.661284 	 0.000458 
0.688305 	 0.000541 
0.714272 	 0.000624 
0.739088 	 0.000705 
0.762680 	 0.000785 
0.784996 	 0.000864 
0.806006 	 0.000940 
0.825699 	 0.001013 
0.844079 	 0.001083 
0.861169 	 0.001150 
0.877000 	 0.001212 
0.891617 	 0.001270 
0.905071 	 0.001321 
0.917418 	 0.001362 
0.928721 	 0.001390 
0.939042 	 0.001397 
0.948447 	 0.001379 
0.956999 	 0.001331 
0.964762 	 0.001248 
0.971797 	 0.001131 
0.978163 	 0.000980 
0.983916 	 0.000799 
0.989107 	 0.000594 
0.993788 	 0.000368 
0.998003 	 0.000129 
