Coordinate 	 V Velocity 
0.001997 	 0.000146 
0.006212 	 0.000519 
0.010893 	 0.000863 
0.016084 	 0.001169 
0.021837 	 0.001427 
0.028203 	 0.001629 
0.035238 	 0.001769 
0.043001 	 0.001847 
0.051553 	 0.001865 
0.060958 	 0.001831 
0.071279 	 0.001755 
0.082582 	 0.001651 
0.094929 	 0.001531 
0.108383 	 0.001404 
0.123000 	 0.001276 
0.138831 	 0.001153 
0.155921 	 0.001034 
0.174301 	 0.000922 
0.193994 	 0.000815 
0.215004 	 0.000715 
0.237320 	 0.000621 
0.260912 	 0.000533 
0.285728 	 0.000452 
0.311695 	 0.000378 
0.338716 	 0.000309 
0.366676 	 0.000245 
0.395435 	 0.000187 
0.424837 	 0.000132 
0.454711 	 0.000080 
0.484871 	 0.000030 
0.515129 	 -0.000020 
0.545289 	 -0.000070 
0.575163 	 -0.000122 
0.604565 	 -0.000176 
0.633324 	 -0.000235 
0.661284 	 -0.000298 
0.688305 	 -0.000367 
0.714272 	 -0.000441 
0.739088 	 -0.000522 
0.762680 	 -0.000609 
0.784996 	 -0.000703 
0.806006 	 -0.000803 
0.825699 	 -0.000909 
0.844079 	 -0.001022 
0.861169 	 -0.001140 
0.877000 	 -0.001264 
0.891617 	 -0.001393 
0.905071 	 -0.001523 
0.917418 	 -0.001648 
0.928721 	 -0.001761 
0.939042 	 -0.001848 
0.948447 	 -0.001897 
0.956999 	 -0.001895 
0.964762 	 -0.001833 
0.971797 	 -0.001708 
0.978163 	 -0.001519 
0.983916 	 -0.001273 
0.989107 	 -0.000975 
0.993788 	 -0.000636 
0.998003 	 -0.000266 
