Coordinate 	 V Velocity 
0.008333 	 -572403493.215436 
0.025000 	 -571266831.819326 
0.041667 	 -569211136.563624 
0.058333 	 -565971224.205426 
0.075000 	 -561568251.401244 
0.091667 	 -556306073.626245 
0.108333 	 -550360640.548844 
0.125000 	 -543718844.675620 
0.141667 	 -536495560.086005 
0.158333 	 -528860954.720623 
0.175000 	 -520653654.058246 
0.191667 	 -511592659.501268 
0.208333 	 -501934571.302465 
0.225000 	 -492395830.575083 
0.241667 	 -483294305.170747 
0.258333 	 -474161560.606272 
0.275000 	 -464757766.537142 
0.291667 	 -455156652.637318 
0.308333 	 -445678227.405438 
0.325000 	 -436274123.120710 
0.341667 	 -426911301.992435 
0.358333 	 -418018534.672743 
0.375000 	 -409974849.154564 
0.391667 	 -402626743.828832 
0.408333 	 -395823117.735144 
0.425000 	 -389805301.353315 
0.441667 	 -384588840.466474 
0.458333 	 -379747677.468937 
0.475000 	 -375193296.970225 
0.491667 	 -371277240.388054 
0.508333 	 -368287714.350867 
0.525000 	 -365813502.482164 
0.541667 	 -363809377.414843 
0.558333 	 -362481467.140907 
0.575000 	 -361470931.124618 
0.591667 	 -360597907.259173 
0.608333 	 -360266099.735354 
0.625000 	 -360427414.091472 
0.641667 	 -360550109.156009 
0.658333 	 -360815455.994855 
0.675000 	 -361508785.186821 
0.691667 	 -362122825.281600 
0.708333 	 -362747836.658457 
0.725000 	 -363813617.159182 
0.741667 	 -363780946.173565 
0.758333 	 -366774560.024875 
0.775000 	 -365900895.819256 
0.791667 	 -366659577.747591 
0.808333 	 -367426830.603013 
0.825000 	 -367668588.955706 
0.841667 	 -368498189.644726 
0.858333 	 -369264465.292904 
0.875000 	 -368867229.610823 
0.891667 	 -368750487.930749 
0.908333 	 -369084698.951600 
0.925000 	 -368970933.426810 
0.941667 	 -369285670.098336 
0.958333 	 -369585431.681958 
0.975000 	 -369583586.822277 
0.991667 	 -369155885.247834 
