Coordinate 	 V Velocity 
0.005113 	 0.009914 
0.015703 	 0.029060 
0.027041 	 0.047985 
0.039160 	 0.066458 
0.052091 	 0.084236 
0.065863 	 0.101078 
0.080504 	 0.116747 
0.096035 	 0.131025 
0.112475 	 0.143721 
0.129836 	 0.154672 
0.148126 	 0.163753 
0.167344 	 0.170869 
0.187483 	 0.175912 
0.208528 	 0.179108 
0.230454 	 0.180394 
0.253227 	 0.179710 
0.276805 	 0.176983 
0.301135 	 0.172127 
0.326155 	 0.165028 
0.351795 	 0.155552 
0.377975 	 0.143552 
0.404608 	 0.128888 
0.431601 	 0.111451 
0.458855 	 0.091196 
0.486267 	 0.068173 
0.513733 	 0.041798 
0.541145 	 0.012618 
0.568399 	 -0.018775 
0.595392 	 -0.051684 
0.622025 	 -0.085263 
0.648205 	 -0.118519 
0.673845 	 -0.150333 
0.698865 	 -0.179515 
0.723195 	 -0.204883 
0.746773 	 -0.225358 
0.769546 	 -0.240059 
0.791472 	 -0.248457 
0.812517 	 -0.250308 
0.832656 	 -0.245691 
0.851874 	 -0.235088 
0.870164 	 -0.219316 
0.887525 	 -0.199420 
0.903965 	 -0.176544 
0.919496 	 -0.151816 
0.934137 	 -0.126256 
0.947909 	 -0.100723 
0.960840 	 -0.075888 
0.972959 	 -0.052240 
0.984297 	 -0.030103 
0.994887 	 -0.009662 
