Coordinate 	 V Velocity 
0.012500 	 0.023318 
0.037500 	 0.062331 
0.062500 	 0.094194 
0.087500 	 0.119576 
0.112500 	 0.139234 
0.137500 	 0.153933 
0.162500 	 0.164387 
0.187500 	 0.171214 
0.212500 	 0.174917 
0.237500 	 0.175879 
0.262500 	 0.173931 
0.287500 	 0.169893 
0.312500 	 0.163812 
0.337500 	 0.155706 
0.362500 	 0.145560 
0.387500 	 0.133345 
0.412500 	 0.119028 
0.437500 	 0.102586 
0.462500 	 0.084015 
0.487500 	 0.063343 
0.512500 	 0.040609 
0.537500 	 0.015441 
0.562500 	 -0.011776 
0.587500 	 -0.040630 
0.612500 	 -0.070636 
0.637500 	 -0.101188 
0.662500 	 -0.131525 
0.687500 	 -0.160712 
0.712500 	 -0.187622 
0.737500 	 -0.210946 
0.762500 	 -0.229682 
0.787500 	 -0.241826 
0.812500 	 -0.245789 
0.837500 	 -0.240213 
0.862500 	 -0.224304 
0.887500 	 -0.198091 
0.912500 	 -0.162597 
0.937500 	 -0.119816 
0.962500 	 -0.072478 
0.987500 	 -0.023655 
