"Velocidades:0","Velocidades:1","Velocidades:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.017657,-0.002817,0,1,0,0.5,0.0056845,0.5
-0.020545,-0.0030457,0,1,0.00098863,0.5,0.0066732,0.5
-0.023434,-0.0032743,0,1,0.0019773,0.5,0.0076618,0.5
-0.026322,-0.003503,0,1,0.0029659,0.5,0.0086504,0.5
-0.02921,-0.0037316,0,1,0.0039545,0.5,0.0096391,0.5
-0.032099,-0.0039603,0,1,0.0049432,0.5,0.010628,0.5
-0.034987,-0.0041889,0,1,0.0059318,0.5,0.011616,0.5
-0.037875,-0.0044176,0,1,0.0069204,0.5,0.012605,0.5
-0.040764,-0.0046462,0,1,0.007909,0.5,0.013594,0.5
-0.043652,-0.0048749,0,1,0.0088977,0.5,0.014582,0.5
-0.046541,-0.0051035,0,1,0.0098863,0.5,0.015571,0.5
-0.049429,-0.0053322,0,1,0.010875,0.5,0.016559,0.5
-0.052283,-0.0055262,0,1,0.011864,0.5,0.017548,0.5
-0.054942,-0.0055205,0,1,0.012852,0.5,0.018537,0.5
-0.057601,-0.0055148,0,1,0.013841,0.5,0.019525,0.5
-0.06026,-0.0055091,0,1,0.014829,0.5,0.020514,0.5
-0.062918,-0.0055033,0,1,0.015818,0.5,0.021503,0.5
-0.065577,-0.0054976,0,1,0.016807,0.5,0.022491,0.5
-0.068236,-0.0054919,0,1,0.017795,0.5,0.02348,0.5
-0.070895,-0.0054861,0,1,0.018784,0.5,0.024469,0.5
-0.073553,-0.0054804,0,1,0.019773,0.5,0.025457,0.5
-0.076212,-0.0054747,0,1,0.020761,0.5,0.026446,0.5
-0.078871,-0.005469,0,1,0.02175,0.5,0.027434,0.5
-0.08153,-0.0054632,0,1,0.022739,0.5,0.028423,0.5
-0.084188,-0.0054575,0,1,0.023727,0.5,0.029412,0.5
-0.086745,-0.0054676,0,1,0.024716,0.5,0.0304,0.5
-0.089227,-0.0054893,0,1,0.025704,0.5,0.031389,0.5
-0.091708,-0.005511,0,1,0.026693,0.5,0.032378,0.5
-0.09419,-0.0055327,0,1,0.027682,0.5,0.033366,0.5
-0.096672,-0.0055544,0,1,0.02867,0.5,0.034355,0.5
-0.099153,-0.0055761,0,1,0.029659,0.5,0.035343,0.5
-0.10163,-0.0055978,0,1,0.030648,0.5,0.036332,0.5
-0.10412,-0.0056195,0,1,0.031636,0.5,0.037321,0.5
-0.1066,-0.0056412,0,1,0.032625,0.5,0.038309,0.5
-0.10908,-0.0056629,0,1,0.033613,0.5,0.039298,0.5
-0.11156,-0.0056846,0,1,0.034602,0.5,0.040287,0.5
-0.11404,-0.0057063,0,1,0.035591,0.5,0.041275,0.5
-0.11652,-0.005728,0,1,0.036579,0.5,0.042264,0.5
-0.11897,-0.0057572,0,1,0.037568,0.5,0.043253,0.5
-0.12133,-0.005807,0,1,0.038557,0.5,0.044241,0.5
-0.12369,-0.0058568,0,1,0.039545,0.5,0.04523,0.5
-0.12605,-0.0059066,0,1,0.040534,0.5,0.046218,0.5
-0.12841,-0.0059564,0,1,0.041522,0.5,0.047207,0.5
-0.13077,-0.0060062,0,1,0.042511,0.5,0.048196,0.5
-0.13312,-0.0060561,0,1,0.0435,0.5,0.049184,0.5
-0.13548,-0.0061059,0,1,0.044488,0.5,0.050173,0.5
-0.13784,-0.0061557,0,1,0.045477,0.5,0.051162,0.5
