"filename", "language", "C++", "comment", "blank", "total"
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK/Codes/CppCodes/Matrix_Index.cpp", "C++", 18, 24, 23, 65
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK/Codes/CppCodes/Memory.cpp", "C++", 14, 5, 15, 34
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK/Codes/CppCodes/Mesher.cpp", "C++", 214, 26, 57, 297
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK/Codes/CppCodes/Mesher_Memory.cpp", "C++", 52, 18, 21, 91
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK/Codes/CppCodes/Mesher_NodalCoordinates.cpp", "C++", 266, 41, 61, 368
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK/Codes/CppCodes/Parallel.cpp", "C++", 74, 12, 24, 110
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK/Codes/CppCodes/Parallel_Communication.cpp", "C++", 144, 11, 57, 212
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK/Codes/CppCodes/PostProcessing.cpp", "C++", 210, 12, 54, 276
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK/Codes/CppCodes/ReadData.cpp", "C++", 64, 8, 23, 95
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK/Codes/CppCodes/Solver.cpp", "C++", 60, 12, 19, 91
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK/Codes/CppCodes/Solver_CFD_BoundaryConditions_Differentially.cpp", "C++", 197, 26, 39, 262
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK/Codes/CppCodes/Solver_CFD_BoundaryConditions_Differentially_T.cpp", "C++", 92, 19, 20, 131
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK/Codes/CppCodes/Solver_CFD_BoundaryConditions_Driven.cpp", "C++", 197, 26, 39, 262
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK/Codes/CppCodes/Solver_CFD_Energy.cpp", "C++", 743, 62, 213, 1018
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK/Codes/CppCodes/Solver_CFD_Memory.cpp", "C++", 132, 20, 69, 221
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK/Codes/CppCodes/Solver_CFD_MomentumConvection.cpp", "C++", 614, 33, 263, 910
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK/Codes/CppCodes/Solver_CFD_MomentumDiffusion.cpp", "C++", 365, 29, 45, 439
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK/Codes/CppCodes/Solver_CFD_PoissonCoeffs.cpp", "C++", 167, 31, 42, 240
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK/Codes/CppCodes/Solver_CFD_RK3_Integration.cpp", "C++", 147, 44, 54, 245
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK/Codes/CppCodes/Solver_CFD_RK4_Integration.cpp", "C++", 191, 56, 69, 316
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK/Codes/CppCodes/Solver_CFD_Utilities.cpp", "C++", 299, 59, 88, 446
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK/Codes/CppCodes/Solver_RunSolver.cpp", "C++", 190, 41, 73, 304
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK3/Codes/CppCodes/Matrix_Index.cpp", "C++", -18, -24, -23, -65
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK3/Codes/CppCodes/Memory.cpp", "C++", -14, -5, -15, -34
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK3/Codes/CppCodes/Mesher.cpp", "C++", -214, -26, -57, -297
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK3/Codes/CppCodes/Mesher_Memory.cpp", "C++", -52, -18, -21, -91
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK3/Codes/CppCodes/Mesher_NodalCoordinates.cpp", "C++", -266, -41, -61, -368
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK3/Codes/CppCodes/Parallel.cpp", "C++", -74, -12, -24, -110
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK3/Codes/CppCodes/Parallel_Communication.cpp", "C++", -144, -11, -57, -212
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK3/Codes/CppCodes/PostProcessing.cpp", "C++", -210, -12, -54, -276
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK3/Codes/CppCodes/ReadData.cpp", "C++", -64, -8, -23, -95
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK3/Codes/CppCodes/Solver.cpp", "C++", -60, -10, -19, -89
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK3/Codes/CppCodes/Solver_CFD_BoundaryConditions_Differentially.cpp", "C++", -197, -26, -39, -262
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK3/Codes/CppCodes/Solver_CFD_BoundaryConditions_Differentially_T.cpp", "C++", -92, -19, -20, -131
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK3/Codes/CppCodes/Solver_CFD_BoundaryConditions_Driven.cpp", "C++", -197, -26, -39, -262
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK3/Codes/CppCodes/Solver_CFD_Energy.cpp", "C++", -743, -62, -213, -1018
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK3/Codes/CppCodes/Solver_CFD_Memory.cpp", "C++", -132, -20, -69, -221
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK3/Codes/CppCodes/Solver_CFD_MomentumConvection.cpp", "C++", -614, -33, -263, -910
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK3/Codes/CppCodes/Solver_CFD_MomentumDiffusion.cpp", "C++", -365, -29, -45, -439
"/home/sergiogus/Documents/Github/TFM/NavierStokes3D/CG_RK3/Codes/CppCodes/Solver_CFD_PoissonCoeffs.cpp", "C++", -167, -31, -42, -240
