Coordinate 	 U Velocity 
0.012500 	 -0.006765 
0.037500 	 -0.020567 
0.062500 	 -0.033359 
0.087500 	 -0.045441 
0.112500 	 -0.057061 
0.137500 	 -0.068418 
0.162500 	 -0.079666 
0.187500 	 -0.090913 
0.212500 	 -0.102218 
0.237500 	 -0.113588 
0.262500 	 -0.124973 
0.287500 	 -0.136263 
0.312500 	 -0.147286 
0.337500 	 -0.157807 
0.362500 	 -0.167534 
0.387500 	 -0.176127 
0.412500 	 -0.183211 
0.437500 	 -0.188394 
0.462500 	 -0.191292 
0.487500 	 -0.191547 
0.512500 	 -0.188853 
0.537500 	 -0.182969 
0.562500 	 -0.173733 
0.587500 	 -0.161060 
0.612500 	 -0.144935 
0.637500 	 -0.125392 
0.662500 	 -0.102475 
0.687500 	 -0.076198 
0.712500 	 -0.046470 
0.737500 	 -0.013013 
0.762500 	 0.024766 
0.787500 	 0.067925 
0.812500 	 0.118167 
0.837500 	 0.178014 
0.862500 	 0.250864 
0.887500 	 0.340783 
0.912500 	 0.451787 
0.937500 	 0.586390 
0.962500 	 0.743375 
0.987500 	 0.915136 
