Coordinate 	 V Velocity 
0.012500 	 0.023857 
0.037500 	 0.062590 
0.062500 	 0.094316 
0.087500 	 0.119665 
0.112500 	 0.139332 
0.137500 	 0.154036 
0.162500 	 0.164453 
0.187500 	 0.171178 
0.212500 	 0.174690 
0.237500 	 0.175323 
0.262500 	 0.172861 
0.287500 	 0.168586 
0.312500 	 0.162258 
0.337500 	 0.153891 
0.362500 	 0.143500 
0.387500 	 0.131077 
0.412500 	 0.116604 
0.437500 	 0.100066 
0.462500 	 0.081463 
0.487500 	 0.060828 
0.512500 	 0.038238 
0.537500 	 0.013379 
0.562500 	 -0.013422 
0.587500 	 -0.041780 
0.612500 	 -0.071232 
0.637500 	 -0.101203 
0.662500 	 -0.130965 
0.687500 	 -0.159615 
0.712500 	 -0.186070 
0.737500 	 -0.209089 
0.762500 	 -0.227772 
0.787500 	 -0.239717 
0.812500 	 -0.243689 
0.837500 	 -0.238300 
0.862500 	 -0.222693 
0.887500 	 -0.196850 
0.912500 	 -0.161747 
0.937500 	 -0.119329 
0.962500 	 -0.072260 
0.987500 	 -0.023552 
