Coordinate 	 U Velocity 
0.010000 	 -0.005587 
0.030000 	 -0.016835 
0.050000 	 -0.027402 
0.070000 	 -0.037449 
0.090000 	 -0.047119 
0.110000 	 -0.056535 
0.130000 	 -0.065805 
0.150000 	 -0.075018 
0.170000 	 -0.084244 
0.190000 	 -0.093536 
0.210000 	 -0.102923 
0.230000 	 -0.112416 
0.250000 	 -0.121997 
0.270000 	 -0.131627 
0.290000 	 -0.141236 
0.310000 	 -0.150727 
0.330000 	 -0.159976 
0.350000 	 -0.168829 
0.370000 	 -0.177106 
0.390000 	 -0.184606 
0.410000 	 -0.191110 
0.430000 	 -0.196389 
0.450000 	 -0.200210 
0.470000 	 -0.202345 
0.490000 	 -0.202582 
0.510000 	 -0.200733 
0.530000 	 -0.196640 
0.550000 	 -0.190185 
0.570000 	 -0.181291 
0.590000 	 -0.169921 
0.610000 	 -0.156079 
0.630000 	 -0.139800 
0.650000 	 -0.121138 
0.670000 	 -0.100152 
0.690000 	 -0.076882 
0.710000 	 -0.051324 
0.730000 	 -0.023391 
0.750000 	 0.007123 
0.770000 	 0.040602 
0.790000 	 0.077662 
0.810000 	 0.119218 
0.830000 	 0.166535 
0.850000 	 0.221247 
0.870000 	 0.285304 
0.890000 	 0.360788 
0.910000 	 0.449560 
0.930000 	 0.552690 
0.950000 	 0.669742 
0.970000 	 0.798099 
0.990000 	 0.932790 
