Coordinate 	 U Velocity 
0.012500 	 -0.008348 
0.037500 	 -0.023302 
0.062500 	 -0.036943 
0.087500 	 -0.049644 
0.112500 	 -0.061702 
0.137500 	 -0.073360 
0.162500 	 -0.084810 
0.187500 	 -0.096197 
0.212500 	 -0.107611 
0.237500 	 -0.119089 
0.262500 	 -0.130607 
0.287500 	 -0.142075 
0.312500 	 -0.153338 
0.337500 	 -0.164168 
0.362500 	 -0.174275 
0.387500 	 -0.183307 
0.412500 	 -0.190869 
0.437500 	 -0.196537 
0.462500 	 -0.199884 
0.487500 	 -0.200506 
0.512500 	 -0.198043 
0.537500 	 -0.192202 
0.562500 	 -0.182772 
0.587500 	 -0.169628 
0.612500 	 -0.152733 
0.637500 	 -0.132123 
0.662500 	 -0.107876 
0.687500 	 -0.080058 
0.712500 	 -0.048660 
0.737500 	 -0.013493 
0.762500 	 0.025930 
0.787500 	 0.070564 
0.812500 	 0.122013 
0.837500 	 0.182721 
0.862500 	 0.256057 
0.887500 	 0.346118 
0.912500 	 0.456944 
0.937500 	 0.590883 
0.962500 	 0.746231 
0.987500 	 0.915056 
