Coordinate 	 U Velocity 
0.008333 	 -529867175.312535 
0.025000 	 -528628788.525014 
0.041667 	 -526856285.412598 
0.058333 	 -523976213.163935 
0.075000 	 -519893302.730671 
0.091667 	 -514654062.179310 
0.108333 	 -508337593.809581 
0.125000 	 -500994738.360783 
0.141667 	 -492740155.581937 
0.158333 	 -483771932.992119 
0.175000 	 -474254403.511636 
0.191667 	 -464309477.763799 
0.208333 	 -454091386.378267 
0.225000 	 -443800936.551036 
0.241667 	 -433553430.995129 
0.258333 	 -423282288.279510 
0.275000 	 -412863043.526762 
0.291667 	 -402331576.974357 
0.308333 	 -391902546.870925 
0.325000 	 -381779421.965093 
0.341667 	 -372006018.327651 
0.358333 	 -362512805.942808 
0.375000 	 -353312638.121349 
0.391667 	 -344621961.838622 
0.408333 	 -336690700.258965 
0.425000 	 -329554534.459282 
0.441667 	 -323143727.236043 
0.458333 	 -317542692.839147 
0.475000 	 -312876031.687266 
0.491667 	 -309092358.669584 
0.508333 	 -306105076.048716 
0.525000 	 -303926272.612271 
0.541667 	 -302588857.376213 
0.558333 	 -302219057.142547 
0.575000 	 -303009318.320245 
0.591667 	 -304904386.857195 
0.608333 	 -307731844.564475 
0.625000 	 -311596086.283485 
0.641667 	 -316630539.726084 
0.658333 	 -322748715.885985 
0.675000 	 -329928013.717211 
0.691667 	 -338164215.893752 
0.708333 	 -347353240.899791 
0.725000 	 -357585126.693176 
0.741667 	 -368992551.803837 
0.758333 	 -381530715.992472 
0.775000 	 -395256338.107824 
0.791667 	 -410181957.883229 
0.808333 	 -426171349.425144 
0.825000 	 -443204133.065047 
0.841667 	 -461014841.580724 
0.858333 	 -479090434.514862 
0.875000 	 -497110123.145323 
0.891667 	 -514566375.145824 
0.908333 	 -530836423.493892 
0.925000 	 -545497022.602324 
0.941667 	 -557771848.393348 
0.958333 	 -566712398.878419 
0.975000 	 -571845723.751712 
0.991667 	 -572987293.792537 
