Coordinate 	 V Velocity 
0.010000 	 0.018841 
0.030000 	 0.051623 
0.050000 	 0.079706 
0.070000 	 0.103386 
0.090000 	 0.123025 
0.110000 	 0.139009 
0.130000 	 0.151729 
0.150000 	 0.161553 
0.170000 	 0.168820 
0.190000 	 0.173822 
0.210000 	 0.176806 
0.230000 	 0.177968 
0.250000 	 0.177328 
0.270000 	 0.175280 
0.290000 	 0.171873 
0.310000 	 0.167140 
0.330000 	 0.161091 
0.350000 	 0.153726 
0.370000 	 0.145032 
0.390000 	 0.134991 
0.410000 	 0.123582 
0.430000 	 0.110788 
0.450000 	 0.096604 
0.470000 	 0.081038 
0.490000 	 0.064084 
0.510000 	 0.045488 
0.530000 	 0.025415 
0.550000 	 0.004025 
0.570000 	 -0.018508 
0.590000 	 -0.041980 
0.610000 	 -0.066144 
0.630000 	 -0.090699 
0.650000 	 -0.115280 
0.670000 	 -0.139449 
0.690000 	 -0.162689 
0.710000 	 -0.184409 
0.730000 	 -0.204036 
0.750000 	 -0.221005 
0.770000 	 -0.234362 
0.790000 	 -0.243168 
0.810000 	 -0.246553 
0.830000 	 -0.243803 
0.850000 	 -0.234444 
0.870000 	 -0.218325 
0.890000 	 -0.195684 
0.910000 	 -0.167170 
0.930000 	 -0.133818 
0.950000 	 -0.096974 
0.970000 	 -0.058173 
0.990000 	 -0.019007 
