Coordinate 	 U Velocity 
0.005113 	 -0.003184 
0.015703 	 -0.009792 
0.027041 	 -0.016573 
0.039160 	 -0.023525 
0.052091 	 -0.030649 
0.065863 	 -0.037955 
0.080504 	 -0.045455 
0.096035 	 -0.053172 
0.112475 	 -0.061135 
0.129836 	 -0.069379 
0.148126 	 -0.077947 
0.167344 	 -0.086883 
0.187483 	 -0.096228 
0.208528 	 -0.106014 
0.230454 	 -0.116250 
0.253227 	 -0.126911 
0.276805 	 -0.137919 
0.301135 	 -0.149128 
0.326155 	 -0.160304 
0.351795 	 -0.171109 
0.377975 	 -0.181103 
0.404608 	 -0.189743 
0.431601 	 -0.196415 
0.458855 	 -0.200471 
0.486267 	 -0.201293 
0.513733 	 -0.198352 
0.541145 	 -0.191277 
0.568399 	 -0.179891 
0.595392 	 -0.164226 
0.622025 	 -0.144506 
0.648205 	 -0.121092 
0.673845 	 -0.094406 
0.698865 	 -0.064847 
0.723195 	 -0.032704 
0.746773 	 0.001916 
0.769546 	 0.039141 
0.791472 	 0.079351 
0.812517 	 0.123152 
0.832656 	 0.171299 
0.851874 	 0.224565 
0.870164 	 0.283557 
0.887525 	 0.348541 
0.903965 	 0.419289 
0.919496 	 0.495011 
0.934137 	 0.574393 
0.947909 	 0.655742 
0.960840 	 0.737200 
0.972959 	 0.816976 
0.984297 	 0.893523 
0.994887 	 0.965589 
