Coordinate 	 U Velocity 
0.012500 	 0.000007 
0.037500 	 0.000036 
0.062500 	 0.000061 
0.087500 	 0.000087 
0.112500 	 0.000115 
0.137500 	 0.000144 
0.162500 	 0.000175 
0.187500 	 0.000209 
0.212500 	 0.000245 
0.237500 	 0.000283 
0.262500 	 0.000325 
0.287500 	 0.000369 
0.312500 	 0.000417 
0.337500 	 0.000468 
0.362500 	 0.000522 
0.387500 	 0.000580 
0.412500 	 0.000642 
0.437500 	 0.000708 
0.462500 	 0.000777 
0.487500 	 0.000852 
0.512500 	 0.000930 
0.537500 	 0.001013 
0.562500 	 0.001101 
0.587500 	 0.001193 
0.612500 	 0.001289 
0.637500 	 0.001388 
0.662500 	 0.001492 
0.687500 	 0.001597 
0.712500 	 0.001704 
0.737500 	 0.001812 
0.762500 	 0.001919 
0.787500 	 0.002022 
0.812500 	 0.002121 
0.837500 	 0.002213 
0.862500 	 0.002295 
0.887500 	 0.002363 
0.912500 	 0.002408 
0.937500 	 0.002393 
0.962500 	 0.002187 
0.987500 	 0.001391 
