Coordinate 	 U Velocity 
0.012500 	 -0.003696 
0.037500 	 -0.011202 
0.062500 	 -0.017696 
0.087500 	 -0.023422 
0.112500 	 -0.028599 
0.137500 	 -0.033424 
0.162500 	 -0.038074 
0.187500 	 -0.042703 
0.212500 	 -0.047448 
0.237500 	 -0.052430 
0.262500 	 -0.057755 
0.287500 	 -0.063513 
0.312500 	 -0.069780 
0.337500 	 -0.076614 
0.362500 	 -0.084052 
0.387500 	 -0.092103 
0.412500 	 -0.100736 
0.437500 	 -0.109873 
0.462500 	 -0.119369 
0.487500 	 -0.129005 
0.512500 	 -0.138470 
0.537500 	 -0.147352 
0.562500 	 -0.155138 
0.587500 	 -0.161217 
0.612500 	 -0.164890 
0.637500 	 -0.165382 
0.662500 	 -0.161862 
0.687500 	 -0.153439 
0.712500 	 -0.139146 
0.737500 	 -0.117896 
0.762500 	 -0.088398 
0.787500 	 -0.049053 
0.812500 	 0.002157 
0.837500 	 0.067754 
0.862500 	 0.150732 
0.887500 	 0.254336 
0.912500 	 0.381460 
0.937500 	 0.533533 
0.962500 	 0.708822 
0.987500 	 0.900752 
