Coordinate 	 V Velocity 
0.012500 	 0.014043 
0.037500 	 0.037765 
0.062500 	 0.057128 
0.087500 	 0.072344 
0.112500 	 0.083762 
0.137500 	 0.091814 
0.162500 	 0.096970 
0.187500 	 0.099695 
0.212500 	 0.100426 
0.237500 	 0.099556 
0.262500 	 0.097307 
0.287500 	 0.093738 
0.312500 	 0.089080 
0.337500 	 0.083503 
0.362500 	 0.077117 
0.387500 	 0.069985 
0.412500 	 0.062131 
0.437500 	 0.053552 
0.462500 	 0.044227 
0.487500 	 0.034130 
0.512500 	 0.023201 
0.537500 	 0.010931 
0.562500 	 -0.002587 
0.587500 	 -0.017261 
0.612500 	 -0.032952 
0.637500 	 -0.049443 
0.662500 	 -0.066401 
0.687500 	 -0.083356 
0.712500 	 -0.099685 
0.737500 	 -0.114616 
0.762500 	 -0.127364 
0.787500 	 -0.136535 
0.812500 	 -0.141104 
0.837500 	 -0.140159 
0.862500 	 -0.133070 
0.887500 	 -0.119628 
0.912500 	 -0.100145 
0.937500 	 -0.075456 
0.962500 	 -0.046834 
0.987500 	 -0.015842 
