Coordinate 	 V Velocity 
0.012500 	 0.036384 
0.037500 	 0.031118 
0.062500 	 0.014042 
0.087500 	 0.002869 
0.112500 	 -0.001992 
0.137500 	 -0.003606 
0.162500 	 -0.004002 
0.187500 	 -0.004026 
0.212500 	 -0.003951 
0.237500 	 -0.003849 
0.262500 	 -0.003741 
0.287500 	 -0.003630 
0.312500 	 -0.003520 
0.337500 	 -0.003412 
0.362500 	 -0.003306 
0.387500 	 -0.003205 
0.412500 	 -0.003108 
0.437500 	 -0.003016 
0.462500 	 -0.002930 
0.487500 	 -0.002848 
0.512500 	 -0.002769 
0.537500 	 -0.002696 
0.562500 	 -0.002630 
0.587500 	 -0.002569 
0.612500 	 -0.002515 
0.637500 	 -0.002466 
0.662500 	 -0.002423 
0.687500 	 -0.002385 
0.712500 	 -0.002351 
0.737500 	 -0.002322 
0.762500 	 -0.002295 
0.787500 	 -0.002272 
0.812500 	 -0.002252 
0.837500 	 -0.002234 
0.862500 	 -0.002208 
0.887500 	 -0.002141 
0.912500 	 -0.001911 
0.937500 	 -0.001196 
0.962500 	 0.000696 
0.987500 	 0.004603 
