Coordinate X 	 Nusselt 
0.000102 	 29.169902 
0.000311 	 17.563893 
0.000528 	 14.366396 
0.000754 	 12.674481 
0.000990 	 11.564014 
0.001235 	 10.751777 
0.001489 	 10.119271 
0.001753 	 9.605751 
0.002027 	 9.175516 
0.002311 	 8.808503 
0.002605 	 8.487960 
0.002909 	 8.207053 
0.003224 	 7.954496 
0.003548 	 7.730305 
0.003883 	 7.523844 
0.004228 	 7.339597 
0.004582 	 7.166322 
0.004947 	 7.012074 
0.005321 	 6.863829 
0.005705 	 6.732883 
0.006098 	 6.604126 
0.006500 	 6.491933 
0.006911 	 6.378817 
0.007330 	 6.282094 
0.007756 	 6.181801 
0.008191 	 6.098085 
0.008632 	 6.008504 
0.009079 	 5.935890 
0.009532 	 5.855409 
0.009990 	 5.792365 
0.010453 	 5.719739 
0.010920 	 5.664996 
0.011390 	 5.599241 
0.011863 	 5.551734 
0.012337 	 5.492067 
0.012813 	 5.450860 
0.013289 	 5.396665 
0.013764 	 5.360940 
0.014238 	 5.311715 
0.014711 	 5.280718 
0.015181 	 5.236122 
0.015648 	 5.209110 
0.016111 	 5.168880 
0.016569 	 5.145226 
0.017022 	 5.109091 
0.017470 	 5.088281 
0.017911 	 5.056018 
0.018345 	 5.037469 
0.018771 	 5.009075 
0.019190 	 4.992206 
0.019601 	 4.967490 
0.020003 	 4.952004 
0.020396 	 4.930851 
0.020780 	 4.916337 
0.021154 	 4.898585 
0.021519 	 4.884769 
0.021873 	 4.870310 
0.022218 	 4.856939 
0.022553 	 4.845646 
0.022877 	 4.832508 
0.023192 	 4.824232 
0.023496 	 4.811181 
0.023790 	 4.805796 
0.024074 	 4.792649 
0.024348 	 4.790121 
0.024612 	 4.776629 
0.024867 	 4.777065 
0.025111 	 4.762719 
0.025347 	 4.766696 
0.025573 	 4.750140 
0.025791 	 4.760458 
0.025999 	 4.730636 
