Coordinate X 	 Sherwood 
0.000102 	 27.639682 
0.000311 	 16.548681 
0.000528 	 13.504888 
0.000754 	 11.898018 
0.000990 	 10.847971 
0.001235 	 10.081163 
0.001489 	 9.487262 
0.001753 	 9.005472 
0.002027 	 8.604437 
0.002311 	 8.262299 
0.002605 	 7.965742 
0.002909 	 7.705584 
0.003224 	 7.473696 
0.003548 	 7.267460 
0.003883 	 7.079349 
0.004228 	 6.911032 
0.004582 	 6.754375 
0.004947 	 6.614490 
0.005321 	 6.481503 
0.005705 	 6.363666 
0.006098 	 6.249056 
0.006500 	 6.148935 
0.006911 	 6.049026 
0.007330 	 5.963493 
0.007756 	 5.875588 
0.008191 	 5.802300 
0.008632 	 5.724372 
0.009079 	 5.661515 
0.009532 	 5.592014 
0.009990 	 5.538125 
0.010453 	 5.475845 
0.010920 	 5.429715 
0.011390 	 5.373698 
0.011863 	 5.334304 
0.012337 	 5.283782 
0.012813 	 5.250228 
0.013289 	 5.204589 
0.013764 	 5.176089 
0.014238 	 5.134829 
0.014711 	 5.110654 
0.015181 	 5.073424 
0.015648 	 5.052856 
0.016111 	 5.019382 
0.016569 	 5.001810 
0.017022 	 4.971805 
0.017470 	 4.956736 
0.017911 	 4.929960 
0.018345 	 4.916830 
0.018771 	 4.893256 
0.019190 	 4.881502 
0.019601 	 4.860918 
0.020003 	 4.850267 
0.020396 	 4.832524 
0.020780 	 4.822591 
0.021154 	 4.807488 
0.021519 	 4.798042 
0.021873 	 4.785416 
0.022218 	 4.776258 
0.022553 	 4.765899 
0.022877 	 4.756910 
0.023192 	 4.748545 
0.023496 	 4.739721 
0.023790 	 4.733026 
0.024074 	 4.724428 
0.024348 	 4.719023 
0.024612 	 4.710853 
0.024867 	 4.706188 
0.025111 	 4.698886 
0.025347 	 4.694013 
0.025573 	 4.688848 
0.025791 	 4.681048 
0.025999 	 4.686645 
