Coordinate 	 U Velocity 
0.003592 	 -0.170960 
0.011146 	 -0.506925 
0.019468 	 -0.851962 
0.028621 	 -1.202240 
0.038671 	 -1.553153 
0.049682 	 -1.899255 
0.061721 	 -2.234308 
0.074852 	 -2.551375 
0.089137 	 -2.842984 
0.104633 	 -3.101359 
0.121392 	 -3.318707 
0.139455 	 -3.487570 
0.158855 	 -3.601185 
0.179610 	 -3.653869 
0.201725 	 -3.641349 
0.225184 	 -3.561036 
0.249955 	 -3.412201 
0.275983 	 -3.196045 
0.303190 	 -2.915660 
0.331477 	 -2.575908 
0.360724 	 -2.183232 
0.390788 	 -1.745429 
0.421508 	 -1.271419 
0.452709 	 -0.770991 
0.484204 	 -0.254561 
0.515796 	 0.267078 
0.547291 	 0.783018 
0.578492 	 1.282490 
0.609212 	 1.755118 
0.639276 	 2.191169 
0.668523 	 2.581799 
0.696810 	 2.919293 
0.724017 	 3.197299 
0.750045 	 3.411054 
0.774816 	 3.557559 
0.798275 	 3.635706 
0.820390 	 3.646307 
0.841145 	 3.592021 
0.860545 	 3.477174 
0.878608 	 3.307484 
0.895367 	 3.089726 
0.910863 	 2.831356 
0.925148 	 2.540146 
0.938279 	 2.223837 
0.950318 	 1.889858 
0.961329 	 1.545097 
0.971379 	 1.195741 
0.980532 	 0.847185 
0.988854 	 0.503986 
0.996408 	 0.169933 
