Coordinate 	 V Velocity 
0.003592 	 0.206257 
0.011146 	 0.558804 
0.019468 	 0.921107 
0.028621 	 1.287315 
0.038671 	 1.652308 
0.049682 	 2.010038 
0.061721 	 2.353623 
0.074852 	 2.675466 
0.089137 	 2.967463 
0.104633 	 3.221293 
0.121392 	 3.428785 
0.139455 	 3.582358 
0.158855 	 3.675496 
0.179610 	 3.703210 
0.201725 	 3.662450 
0.225184 	 3.552374 
0.249955 	 3.374462 
0.275983 	 3.132414 
0.303190 	 2.831857 
0.331477 	 2.479883 
0.360724 	 2.084520 
0.390788 	 1.654189 
0.421508 	 1.197278 
0.452709 	 0.721856 
0.484204 	 0.235594 
0.515796 	 -0.254163 
0.547291 	 -0.740182 
0.578492 	 -1.215106 
0.609212 	 -1.671245 
0.639276 	 -2.100500 
0.668523 	 -2.494455 
0.696810 	 -2.844659 
0.724017 	 -3.143068 
0.750045 	 -3.382583 
0.774816 	 -3.557590 
0.798275 	 -3.664416 
0.820390 	 -3.701628 
0.841145 	 -3.670124 
0.860545 	 -3.573023 
0.878608 	 -3.415381 
0.895367 	 -3.203782 
0.910863 	 -2.945868 
0.925148 	 -2.649863 
0.938279 	 -2.324134 
0.950318 	 -1.976818 
0.961329 	 -1.615537 
0.971379 	 -1.247191 
0.980532 	 -0.877836 
0.988854 	 -0.512655 
0.996408 	 -0.154287 
