Coordinate 	 U Velocity 
0.002240 	 -0.662155 
0.006810 	 -1.883545 
0.011564 	 -3.036842 
0.016507 	 -4.117463 
0.021645 	 -5.122048 
0.026984 	 -6.048081 
0.032529 	 -6.893846 
0.038285 	 -7.658412 
0.044258 	 -8.341614 
0.050453 	 -8.944035 
0.056874 	 -9.466981 
0.063527 	 -9.912437 
0.070417 	 -10.283012 
0.077548 	 -10.581863 
0.084923 	 -10.812609 
0.092548 	 -10.979228 
0.100426 	 -11.085951 
0.108559 	 -11.137151 
0.116951 	 -11.137230 
0.125605 	 -11.090523 
0.134521 	 -11.001203 
0.143702 	 -10.873212 
0.153149 	 -10.710205 
0.162861 	 -10.515520 
0.172839 	 -10.292157 
0.183082 	 -10.042799 
0.193587 	 -9.769821 
0.204353 	 -9.475327 
0.215377 	 -9.161195 
0.226655 	 -8.829113 
0.238182 	 -8.480621 
0.249953 	 -8.117145 
0.261962 	 -7.740025 
0.274202 	 -7.350534 
0.286665 	 -6.949889 
0.299343 	 -6.539257 
0.312225 	 -6.119754 
0.325303 	 -5.692436 
0.338564 	 -5.258301 
0.351998 	 -4.818278 
0.365592 	 -4.373222 
0.379333 	 -3.923910 
0.393208 	 -3.471039 
0.407201 	 -3.015221 
0.421298 	 -2.556994 
0.435485 	 -2.096819 
0.449745 	 -1.635095 
0.464062 	 -1.172166 
0.478421 	 -0.708328 
0.492804 	 -0.243844 
0.507196 	 0.221044 
0.521579 	 0.686102 
0.535938 	 1.151090 
0.550255 	 1.615746 
0.564515 	 2.079775 
0.578702 	 2.542834 
0.592799 	 3.004526 
0.606792 	 3.464383 
0.620667 	 3.921862 
0.634408 	 4.376340 
0.648002 	 4.827102 
0.661436 	 5.273347 
0.674697 	 5.714185 
0.687775 	 6.148643 
0.700657 	 6.575665 
0.713335 	 6.994120 
0.725798 	 7.402800 
0.738038 	 7.800422 
0.750047 	 8.185623 
0.761818 	 8.556954 
0.773345 	 8.912860 
0.784623 	 9.251659 
0.795647 	 9.571517 
0.806413 	 9.870412 
0.816918 	 10.146101 
0.827161 	 10.396085 
0.837139 	 10.617600 
0.846851 	 10.807593 
0.856298 	 10.962733 
0.865479 	 11.079435 
0.874395 	 11.153898 
0.883049 	 11.182171 
0.891441 	 11.160228 
0.899574 	 11.084061 
0.907452 	 10.949780 
0.915077 	 10.753720 
0.922452 	 10.492534 
0.929583 	 10.163295 
0.936473 	 9.763578 
0.943126 	 9.291522 
0.949547 	 8.745886 
0.955742 	 8.126075 
0.961715 	 7.432154 
0.967471 	 6.664834 
0.973016 	 5.825440 
0.978355 	 4.915862 
0.983493 	 3.938473 
0.988436 	 2.896028 
0.993190 	 1.791504 
0.997760 	 0.628800 
