Coordinate 	 V Velocity 
0.002240 	 5.185303 
0.006810 	 11.881693 
0.011564 	 18.038746 
0.016507 	 23.500692 
0.021645 	 28.236644 
0.026984 	 32.220138 
0.032529 	 35.433538 
0.038285 	 37.869239 
0.044258 	 39.530772 
0.050453 	 40.433674 
0.056874 	 40.606045 
0.063527 	 40.088719 
0.070417 	 38.934968 
0.077548 	 37.209685 
0.084923 	 34.988035 
0.092548 	 32.353560 
0.100426 	 29.395802 
0.108559 	 26.207529 
0.116951 	 22.881699 
0.125605 	 19.508318 
0.134521 	 16.171392 
0.143702 	 12.946150 
0.153149 	 9.896731 
0.162861 	 7.074463 
0.172839 	 4.516832 
0.183082 	 2.247281 
0.193587 	 0.287446 
0.204353 	 -1.362326 
0.215377 	 -2.711986 
0.226655 	 -3.779666 
0.238182 	 -4.589409 
0.249953 	 -5.168943 
0.261962 	 -5.547647 
0.274202 	 -5.754842 
0.286665 	 -5.818444 
0.299343 	 -5.764022 
0.312225 	 -5.614227 
0.325303 	 -5.388550 
0.338564 	 -5.103332 
0.351998 	 -4.771968 
0.365592 	 -4.405217 
0.379333 	 -4.011585 
0.393208 	 -3.597708 
0.407201 	 -3.168721 
0.421298 	 -2.728578 
0.435485 	 -2.280323 
0.449745 	 -1.826292 
0.464062 	 -1.368239 
0.478421 	 -0.907390 
0.492804 	 -0.444382 
0.507196 	 0.020884 
0.521579 	 0.485452 
0.535938 	 0.947591 
0.550255 	 1.405790 
0.564515 	 1.858495 
0.578702 	 2.303900 
0.592799 	 2.739757 
0.606792 	 3.163166 
0.620667 	 3.570335 
0.634408 	 3.956302 
0.648002 	 4.314609 
0.661436 	 4.636949 
0.674697 	 4.912788 
0.687775 	 5.129012 
0.700657 	 5.269633 
0.713335 	 5.315620 
0.725798 	 5.244915 
0.738038 	 5.032710 
0.750047 	 4.652052 
0.761818 	 4.074802 
0.773345 	 3.272988 
0.784623 	 2.220509 
0.795647 	 0.895116 
0.806413 	 -0.719428 
0.816918 	 -2.631194 
0.827161 	 -4.838125 
0.837139 	 -7.338486 
0.846851 	 -10.104395 
0.856298 	 -13.094898 
0.865479 	 -16.256003 
0.874395 	 -19.521570 
0.883049 	 -22.814940 
0.891441 	 -26.051197 
0.899574 	 -29.139895 
0.907452 	 -31.988067 
0.915077 	 -34.503314 
0.922452 	 -36.596792 
0.929583 	 -38.185921 
0.936473 	 -39.196706 
0.943126 	 -39.565562 
0.949547 	 -39.240607 
0.955742 	 -38.182425 
0.961715 	 -36.364309 
0.967471 	 -33.772057 
0.973016 	 -30.403385 
0.978355 	 -26.267026 
0.983493 	 -21.381622 
0.988436 	 -15.774425 
0.993190 	 -9.483052 
0.997760 	 -2.431413 
