Coordinate 	 U Velocity 
0.006250 	 -0.002091 
0.018750 	 -0.005994 
0.031250 	 -0.009697 
0.043750 	 -0.013224 
0.056250 	 -0.016599 
0.068750 	 -0.019845 
0.081250 	 -0.022983 
0.093750 	 -0.026030 
0.106250 	 -0.029004 
0.118750 	 -0.031921 
0.131250 	 -0.034795 
0.143750 	 -0.037639 
0.156250 	 -0.040463 
0.168750 	 -0.043279 
0.181250 	 -0.046094 
0.193750 	 -0.048915 
0.206250 	 -0.051748 
0.218750 	 -0.054595 
0.231250 	 -0.057458 
0.243750 	 -0.060337 
0.256250 	 -0.063230 
0.268750 	 -0.066133 
0.281250 	 -0.069037 
0.293750 	 -0.071936 
0.306250 	 -0.074817 
0.318750 	 -0.077667 
0.331250 	 -0.080470 
0.343750 	 -0.083208 
0.356250 	 -0.085861 
0.368750 	 -0.088406 
0.381250 	 -0.090818 
0.393750 	 -0.093072 
0.406250 	 -0.095140 
0.418750 	 -0.096994 
0.431250 	 -0.098604 
0.443750 	 -0.099943 
0.456250 	 -0.100979 
0.468750 	 -0.101686 
0.481250 	 -0.102035 
0.493750 	 -0.102002 
0.506250 	 -0.101562 
0.518750 	 -0.100695 
0.531250 	 -0.099383 
0.543750 	 -0.097609 
0.556250 	 -0.095361 
0.568750 	 -0.092630 
0.581250 	 -0.089407 
0.593750 	 -0.085689 
0.606250 	 -0.081472 
0.618750 	 -0.076757 
0.631250 	 -0.071546 
0.643750 	 -0.065841 
0.656250 	 -0.059645 
0.668750 	 -0.052965 
0.681250 	 -0.045802 
0.693750 	 -0.038159 
0.706250 	 -0.030036 
0.718750 	 -0.021424 
0.731250 	 -0.012308 
0.743750 	 -0.002661 
0.756250 	 0.007554 
0.768750 	 0.018382 
0.781250 	 0.029900 
0.793750 	 0.042205 
0.806250 	 0.055419 
0.818750 	 0.069691 
0.831250 	 0.085200 
0.843750 	 0.102154 
0.856250 	 0.120786 
0.868750 	 0.141345 
0.881250 	 0.164087 
0.893750 	 0.189254 
0.906250 	 0.217052 
0.918750 	 0.247619 
0.931250 	 0.280990 
0.943750 	 0.317056 
0.956250 	 0.355518 
0.968750 	 0.395885 
0.981250 	 0.437403 
0.993750 	 0.479405 
