Coordinate 	 V Velocity 
0.006250 	 0.005688 
0.018750 	 0.015948 
0.031250 	 0.025310 
0.043750 	 0.033802 
0.056250 	 0.041458 
0.068750 	 0.048317 
0.081250 	 0.054421 
0.093750 	 0.059815 
0.106250 	 0.064546 
0.118750 	 0.068658 
0.131250 	 0.072197 
0.143750 	 0.075206 
0.156250 	 0.077725 
0.168750 	 0.079790 
0.181250 	 0.081435 
0.193750 	 0.082691 
0.206250 	 0.083582 
0.218750 	 0.084132 
0.231250 	 0.084359 
0.243750 	 0.084275 
0.256250 	 0.083876 
0.268750 	 0.083262 
0.281250 	 0.082399 
0.293750 	 0.081281 
0.306250 	 0.079911 
0.318750 	 0.078292 
0.331250 	 0.076424 
0.343750 	 0.074304 
0.356250 	 0.071933 
0.368750 	 0.069308 
0.381250 	 0.066428 
0.393750 	 0.063289 
0.406250 	 0.059892 
0.418750 	 0.056234 
0.431250 	 0.052314 
0.443750 	 0.048132 
0.456250 	 0.043688 
0.468750 	 0.038981 
0.481250 	 0.034017 
0.493750 	 0.028808 
0.506250 	 0.023391 
0.518750 	 0.017638 
0.531250 	 0.011569 
0.543750 	 0.005214 
0.556250 	 -0.001399 
0.568750 	 -0.008241 
0.581250 	 -0.015281 
0.593750 	 -0.022488 
0.606250 	 -0.029824 
0.618750 	 -0.037249 
0.631250 	 -0.044719 
0.643750 	 -0.052185 
0.656250 	 -0.059591 
0.668750 	 -0.066878 
0.681250 	 -0.073978 
0.693750 	 -0.080822 
0.706250 	 -0.087334 
0.718750 	 -0.093431 
0.731250 	 -0.099043 
0.743750 	 -0.104123 
0.756250 	 -0.108780 
0.768750 	 -0.112604 
0.781250 	 -0.115552 
0.793750 	 -0.117532 
0.806250 	 -0.118454 
0.818750 	 -0.118237 
0.831250 	 -0.116820 
0.843750 	 -0.114159 
0.856250 	 -0.110238 
0.868750 	 -0.105066 
0.881250 	 -0.098681 
0.893750 	 -0.091150 
0.906250 	 -0.082570 
0.918750 	 -0.073061 
0.931250 	 -0.062770 
0.943750 	 -0.051860 
0.956250 	 -0.040506 
0.968750 	 -0.028892 
0.981250 	 -0.017202 
0.993750 	 -0.005619 
